City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,74.97,moderate rain,-23.1203,-134.9692,People ThankYou
9,Carnarvon,AU,68.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Karratha,AU,79.77,clear sky,-20.7377,116.8463,ibis Styles Karratha
15,Acari,PE,68.22,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
18,Truth Or Consequences,US,71.83,clear sky,33.1284,-107.2528,Charles Motel
19,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
20,Lagoa,PT,68.16,clear sky,39.05,-27.9833,Casa Das Faias
22,Saint-Joseph,RE,71.96,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
25,Nortelandia,BR,71.85,broken clouds,-14.4547,-56.8028,Hotel Karysmã
28,Kapaa,US,79.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Butaritari,KI,82.24,clear sky,3.0707,172.7902,Isles Sunset Lodge
31,Srandakan,ID,73.72,overcast clouds,-7.9386,110.2506,Puri Brata
32,Banda Aceh,ID,81.77,light rain,5.5577,95.3222,Sulthan Hotel International
40,Atuona,PF,78.4,clear sky,-9.8,-139.0333,Villa Enata
41,Mataura,NZ,74.19,overcast clouds,-46.1927,168.8643,Ellie's Villa
42,Byron Bay,AU,75.06,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
46,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
47,Ribeira Grande,PT,69.46,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
49,Port Macquarie,AU,76.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
50,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
52,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
53,Godda,IN,68.14,few clouds,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
55,La Asuncion,VE,79.09,clear sky,11.0333,-63.8628,Colinas de Matasiete
58,Lorengau,PG,83.08,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Kawalu,ID,81.21,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
65,Tuatapere,NZ,68.61,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
68,Plaridel,PH,84.85,heavy intensity rain,14.8872,120.8572,St. Agatha Resort
72,Rabo De Peixe,PT,69.28,scattered clouds,37.8,-25.5833,Quinta das Giestas
75,Ishigaki,JP,72.23,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
77,Djibo,BF,83.37,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
80,Tanda,IN,66.79,scattered clouds,26.55,82.65,MUMTAZ GANJ TANDA
