City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,11.5,light snow
1,Hermanus,ZA,-34.4187,19.2345,56.89,72,72,4.7,broken clouds
2,Burnie,AU,-41.0667,145.9167,60.49,48,8,10.45,clear sky
3,Rikitea,PF,-23.1203,-134.9692,74.97,78,100,13.85,moderate rain
4,Chuy,UY,-33.6971,-53.4616,53.76,83,10,2.77,clear sky
5,Tokur,RU,53.1333,132.9,14.38,58,7,2.48,clear sky
6,Ushuaia,AR,-54.8,-68.3,34.9,91,37,4.38,scattered clouds
7,Necochea,AR,-38.5473,-58.7368,54.03,89,66,11.61,broken clouds
8,Skjervoy,NO,70.0311,20.9714,35.49,82,100,17.07,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,68.4,63,79,14.56,broken clouds
10,Bredasdorp,ZA,-34.5322,20.0403,50.29,77,98,2.08,overcast clouds
11,Hobart,AU,-42.8794,147.3294,63.05,51,75,9.22,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,16.07,76,100,6.46,overcast clouds
13,Karratha,AU,-20.7377,116.8463,79.77,40,1,15.1,clear sky
14,Bluff,NZ,-46.6,168.3333,61.16,61,83,6.22,broken clouds
15,Acari,PE,-15.4311,-74.6158,68.22,73,59,3.62,broken clouds
16,Saint Anthony,US,45.0205,-93.218,55.81,83,1,1.01,clear sky
17,Wyndham,US,37.6985,-77.6125,46.87,80,1,0.0,clear sky
18,Truth Or Consequences,US,33.1284,-107.2528,71.83,18,1,12.66,clear sky
19,Maceio,BR,-9.6658,-35.7353,80.04,94,75,6.91,broken clouds
20,Lagoa,PT,39.05,-27.9833,68.16,86,3,23.8,clear sky
21,Qaanaaq,GL,77.484,-69.3632,3.24,70,40,7.45,scattered clouds
22,Saint-Joseph,RE,-21.3667,55.6167,71.96,80,18,8.75,few clouds
23,New Norfolk,AU,-42.7826,147.0587,62.74,41,11,5.01,few clouds
24,Port Hardy,CA,50.6996,-127.4199,37.58,100,90,0.0,light intensity shower rain
25,Nortelandia,BR,-14.4547,-56.8028,71.85,87,56,2.28,broken clouds
26,Albany,US,42.6001,-73.9662,39.52,75,12,3.89,few clouds
27,Sandwick,GB,60.0,-1.25,40.82,87,100,4.61,overcast clouds
28,Kapaa,US,22.0752,-159.319,79.48,61,40,4.0,scattered clouds
29,Punta Arenas,CL,-53.15,-70.9167,44.71,65,20,6.91,few clouds
30,Butaritari,KI,3.0707,172.7902,82.24,68,5,11.74,clear sky
31,Srandakan,ID,-7.9386,110.2506,73.72,76,100,1.34,overcast clouds
32,Banda Aceh,ID,5.5577,95.3222,81.77,77,76,3.47,light rain
33,Mayo,US,38.8876,-76.5119,50.58,77,100,10.25,overcast clouds
34,Saskylakh,RU,71.9167,114.0833,11.39,95,100,9.13,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,59.27,73,0,4.0,clear sky
36,Tagusao,PH,9.1924,117.8141,85.62,71,100,3.96,moderate rain
37,Nurota,UZ,40.5614,65.6886,35.69,35,100,3.65,overcast clouds
38,Port Elizabeth,ZA,-33.918,25.5701,59.09,84,100,5.57,overcast clouds
39,Provideniya,RU,64.3833,-173.3,19.51,63,20,4.47,few clouds
40,Atuona,PF,-9.8,-139.0333,78.4,75,10,16.87,clear sky
41,Mataura,NZ,-46.1927,168.8643,74.19,37,100,2.35,overcast clouds
42,Byron Bay,AU,-28.65,153.6167,75.06,87,100,5.41,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,64.38,86,100,8.61,light rain
44,Batagay-Alyta,RU,67.8006,130.4114,-11.78,88,87,3.06,overcast clouds
45,Voznesenskoye,RU,54.89,42.7569,39.42,92,66,12.71,broken clouds
46,Mount Isa,AU,-20.7333,139.5,82.17,69,90,8.05,overcast clouds
47,Ribeira Grande,PT,38.5167,-28.7,69.46,86,26,23.94,scattered clouds
